measure,layer,sse,close,mid,far,extreme
angles_layer,A,A2E,0.0,11.981178639888535,-5.004404920274611,-6.724473942172931
angles_layer,A,A1E,0.0,8.207396514959678,3.9553378563267927,-22.82084738693924
angles_layer,A,A3E,0.0,4.884043277735361,-5.184656154233101,-8.814851578710662
angles_layer,A,A5E,0.0,-14.246804539598312,12.857312107520553,16.325691740765627
angles_layer,A,A4E,0.0,-12.450469574410475,-5.375131348366006,11.660073237456473
angles_floor,A,A2E,0.0,77.55181255732067,-70.42985363210624,57.67970406347335
angles_floor,A,A1E,0.0,81.79504154809533,-64.704264988777,58.005985519211166
angles_floor,A,A3E,0.0,84.14495359217169,-66.86932122807875,63.591884194874794
angles_floor,A,A5E,0.0,75.45021319867205,-67.13984603579466,59.29010087211498
angles_floor,A,A4E,0.0,75.63484233677335,-69.62463258699191,58.92713920995752
angles_side,A,A2E,0.0,3.336656791462876,-18.368120743281974,20.977083761237438
angles_side,A,A1E,0.0,0.06807501757315593,-22.702372332912372,11.731750781192112
angles_side,A,A3E,0.0,3.2242835358046533,-19.48198417327388,5.781382298527959
angles_side,A,A5E,0.0,-2.8807693657975566,-18.545692252500807,25.374398360307467
angles_side,A,A4E,0.0,7.0465203499204,-16.762103795525533,6.796108714595732
points_layer,A,A2E,0.0,0.14801399701223228,0.4937502441923637,0.6217036990281446
points_layer,A,A1E,0.0,0.3792983996404607,0.9935748996336127,1.6536348104297864
points_layer,A,A3E,0.0,0.145615678866992,0.9649511908361887,1.0196518163438897
points_layer,A,A5E,0.0,0.6651624168979908,0.8888635986755306,1.7178073343028604
points_layer,A,A4E,0.0,0.7520658958751605,0.6069559720004182,0.5921601484739533
points_floor,A,A2E,0.0,0.13696648921376148,0.9751690157048014,1.5060612094311918
points_floor,A,A1E,0.0,0.6758803631025501,4.715823608816297,0.8346443184079851
points_floor,A,A3E,0.0,0.2267871478250441,0.7299873370184,0.32302695563613654
points_floor,A,A5E,0.0,0.25236524911978186,2.9903448635183665,1.2890166920934407
points_floor,A,A4E,0.0,0.5147395367028321,2.29080429360504,0.8891605880136074
points_side,A,A2E,0.0,4.4096706529264384,4.588082886630891,3.9456352575085356
points_side,A,A1E,0.0,9.416040167169935,8.025727979946748,8.64917714722034
points_side,A,A3E,0.0,0.22077361122789246,0.27380106989323255,0.5800682663440163
points_side,A,A5E,0.0,9.515498761109594,8.868908182660116,8.232893075023613
points_side,A,A4E,0.0,4.090424088645717,4.016907301844458,3.6951797471798695
