measure,layer,sse,close,mid,far,extreme
angles_layer,A,A3E,0.0,0.0,-0.18534692816460563,9.22298032852408
angles_layer,A,A4E,0.0,0.0,12.301385634286236,28.937133189322623
angles_layer,A,A1E,0.0,0.0,-12.572331570410508,-30.919470093387723
angles_layer,A,A2E,0.0,0.0,-2.597620811479662,-10.949674561147145
angles_floor,A,A3E,0.0,0.0,-68.25436166583694,71.1412853549202
angles_floor,A,A4E,0.0,0.0,-63.923140130650054,51.043348621240895
angles_floor,A,A1E,0.0,0.0,-64.02610030767316,48.13375435031297
angles_floor,A,A2E,0.0,0.0,-67.87290648146936,67.8594178086262
angles_side,A,A3E,0.0,0.0,-5.290843995699454,-0.32038383675772053
angles_side,A,A4E,0.0,0.0,-6.812640905815307,2.316678278804858
angles_side,A,A1E,0.0,0.0,-2.4916761309679103,-0.1620549638141071
angles_side,A,A2E,0.0,0.0,-7.9549718756331345,1.8209571294610996
points_layer,A,A3E,0.0,0.0,0.11322386869691162,0.44508756574926894
points_layer,A,A4E,0.0,0.0,0.1230589200873891,0.36391787060410796
points_layer,A,A1E,0.0,0.0,0.19888985821402655,0.47248803937150524
points_layer,A,A2E,0.0,0.0,0.41146380416133593,0.2930676483547917
points_floor,A,A3E,0.0,0.0,0.5926178524549148,0.5356821885458214
points_floor,A,A4E,0.0,0.0,2.1925304126915917,2.1241792751564343
points_floor,A,A1E,0.0,0.0,2.0719623082146947,2.5289310859280163
points_floor,A,A2E,0.0,0.0,0.7180358416171653,0.5271691539485206
points_side,A,A3E,0.0,0.0,2.46859176161368,2.1232225332200794
points_side,A,A4E,0.0,0.0,6.6480931275977735,6.511619915100031
points_side,A,A1E,0.0,0.0,6.44116555809742,6.3661689336114815
points_side,A,A2E,0.0,0.0,2.9616345981825725,1.894077191094157
