measure,layer,sse,close,mid,far,extreme
angles_layer,B,B3E,0.0,-5.836928733118418,-14.322601838072615,2.184514659110601
angles_layer,B,C2H,0.0,-15.712362335796026,4.738625329933513,6.6375003148471095
angles_layer,B,B4E,0.0,-23.911978758478213,-36.699552013357724,-33.02325401690465
angles_layer,B,B2E,0.0,6.661722327080074,15.843483837412212,11.936724968937135
angles_layer,B,B1E,0.0,27.75546236153228,41.103553513246034,38.741727873046585
angles_layer,B,C1H,0.0,16.605791496985823,36.57812222779447,23.02348427011001
angles_layer,C,B3E,0.0,-8.635119241642084,-27.80457263046673,-19.576147895889864
angles_layer,C,C2H,0.0,-19.12758660157705,-16.7742292171484,-9.02304337303055
angles_layer,C,B4E,0.0,-27.693017270934064,-55.82138645056301,-36.67708606457304
angles_layer,C,B2E,0.0,7.9181126577824745,2.066487096164147,-0.6351046797001452
angles_layer,C,B1E,0.0,26.321495723373555,24.141393239711427,32.423279022495095
angles_layer,C,C1H,0.0,13.123382473863135,15.465116458170801,9.575388658040554
angles_floor,B,B3E,0.0,68.25229477281309,-74.13234607628786,-60.740449522422246
angles_floor,B,C2H,0.0,56.75501065591729,-62.43744829723157,-59.4476923064219
angles_floor,B,B4E,0.0,53.62735506750647,-45.459410944783535,-50.490828283039605
angles_floor,B,B2E,0.0,69.88167702248603,-74.09557319364339,-43.671016128960396
angles_floor,B,B1E,0.0,47.32509938961705,-48.674586016414615,-40.30618981811871
angles_floor,B,C1H,0.0,43.55504760251171,-48.69709655706432,-44.302509792265994
angles_floor,C,B3E,0.0,-56.503337965525134,60.54127854676484,-50.06686299976717
angles_floor,C,C2H,0.0,-46.73731948982325,65.98625870516422,-59.675146783726845
angles_floor,C,B4E,0.0,-38.72197144719658,34.1742978142644,-36.47512091385408
angles_floor,C,B2E,0.0,-69.40078751879027,86.33803874998821,-50.23050592292569
angles_floor,C,B1E,0.0,-58.89944154801491,63.97923492383189,-50.44667596104257
angles_floor,C,C1H,0.0,-55.250278220532785,64.43297942005411,-52.777885345848745
angles_side,B,B3E,0.0,9.97727992407293,6.681715042496544,22.19807218385538
angles_side,B,C2H,0.0,16.114489188926083,27.08250211349562,21.182617426425956
angles_side,B,B4E,0.0,7.280005622188877,21.53917566324496,-5.370931745243013
angles_side,B,B2E,0.0,-4.258053241168733,1.3758809015134257,25.283956308268515
angles_side,B,B1E,0.0,8.98458995536495,3.5670091481593813,16.667612671813366
angles_side,B,C1H,0.0,18.22621149365724,16.489046183622307,32.525331644159635
angles_side,C,B3E,0.0,12.210475660668125,8.96275023607635,-27.293259185094094
angles_side,C,C2H,0.0,20.761788769027586,-16.672523326236924,-23.803166655986235
angles_side,C,B4E,0.0,11.82024625340552,0.437161366594309,-3.9057227339721976
angles_side,C,B2E,0.0,8.220388631638441,3.0233416126540464,-24.88273954806889
angles_side,C,B1E,0.0,10.13582321333066,-9.130925756269678,-10.894932993406258
angles_side,C,C1H,0.0,23.14934378110648,-19.835372170996294,-30.546442639119963
points_layer,B,B3E,0.0,0.3960274964081263,0.16087215347879805,0.2453167454717478
points_layer,B,C2H,0.0,9.194746758442195,8.588512058409783,10.725613959414556
points_layer,B,B4E,0.0,0.15178488427035075,1.199444392628275,1.3324567272649595
points_layer,B,B2E,0.0,0.16103951366815056,1.3163350580020186,1.0438427661555463
points_layer,B,B1E,0.0,0.25858161023799775,0.04491322727405194,0.41581421030655774
points_layer,B,C1H,0.0,12.27406941148318,12.41827233381022,11.896400541866294
points_layer,C,B3E,0.0,9.834914824846607,10.626788073010532,11.516597366627533
points_layer,C,C2H,0.0,0.14250385404377786,0.014172827414388304,0.05666228520880477
points_layer,C,B4E,0.0,9.30715080527617,9.100654858772986,12.228632947744027
points_layer,C,B2E,0.0,11.756212739321118,10.210910721448828,10.834750011838635
points_layer,C,B1E,0.0,12.356418622303412,12.799180253436985,12.061338344757797
points_layer,C,C1H,0.0,0.14179304033672174,0.014172827414388304,0.05767506738279872
points_floor,B,B3E,0.0,0.5710091412656755,2.5935969624921267,1.8722701699995552
points_floor,B,C2H,0.0,1.8094617070128434,0.2204912100599906,2.113427619010157
points_floor,B,B4E,0.0,0.8866460714895528,0.05239320192233191,2.9579553524729216
points_floor,B,B2E,0.0,0.5006096880830171,0.05154238779318452,0.8662633546154024
points_floor,B,B1E,0.0,0.978669726438912,2.591752342755638,2.6677965890008473
points_floor,B,C1H,0.0,1.4961527307478928,3.4176218891960315,2.112605148609539
points_floor,C,B3E,0.0,0.7597093958738952,1.3017577786960386,1.393361453105143
points_floor,C,C2H,0.0,1.0144241208395774,0.7872249022930752,1.1080433548331716
points_floor,C,B4E,0.0,1.5494958317122198,1.933363330207214,2.845338950118186
points_floor,C,B2E,0.0,1.0976134264186521,0.4427166142471453,2.4316276070888994
points_floor,C,B1E,0.0,0.4827003636488822,2.8758267703849785,3.175358424921105
points_floor,C,C1H,0.0,1.0167470961663485,0.7872249022930752,1.1160003098352234
points_side,B,B3E,0.0,2.643217084302686,1.8773531372111103,2.6188848670574063
points_side,B,C2H,0.0,6.532596190204806,7.754804777347058,5.520912093612947
points_side,B,B4E,0.0,6.372175645702703,6.7290053649312656,5.997684350618683
points_side,B,B2E,0.0,2.424993253098912,1.7661573162469126,1.7414213317079699
points_side,B,B1E,0.0,6.666881412023059,6.8405810152387545,9.193922108319661
points_side,B,C1H,0.0,5.166923399603596,2.9506394218401115,3.677629383945259
