measure,layer,sse,close,mid,far,extreme
angles_layer,A,A3E,0.0,0.0,-0.18534692816460563,9.843355656955573
angles_layer,A,A4E,0.0,0.0,12.301385634286236,30.73009473289696
angles_layer,A,A1E,0.0,0.0,-12.572331570410508,-31.339911801793022
angles_layer,A,A2E,0.0,0.0,-2.597620811479662,-11.290172880924683
angles_floor,A,A3E,0.0,0.0,-68.25436166583694,69.55772770935445
angles_floor,A,A4E,0.0,0.0,-63.923140130650054,51.043348621240895
angles_floor,A,A1E,0.0,0.0,-64.02610030767316,48.13375435031297
angles_floor,A,A2E,0.0,0.0,-67.87290648146936,67.05100133137486
angles_side,A,A3E,0.0,0.0,-5.290843995699454,1.4347833673569355
angles_side,A,A4E,0.0,0.0,-6.812640905815307,2.316678278804858
angles_side,A,A1E,0.0,0.0,-2.4916761309679103,0.7140497768724146
angles_side,A,A2E,0.0,0.0,-7.9549718756331345,-0.2887146990351752
points_layer,A,A3E,0.0,0.0,0.11322386869691162,0.4650298793640249
points_layer,A,A4E,0.0,0.0,0.1230589200873891,0.3105982197363758
points_layer,A,A1E,0.0,0.0,0.19888985821402655,0.4999435085853021
points_layer,A,A2E,0.0,0.0,0.41146380416133593,0.2930676483547917
points_floor,A,A3E,0.0,0.0,0.5926178524549148,0.5356821885458214
points_floor,A,A4E,0.0,0.0,2.1925304126915917,2.0661686241952566
points_floor,A,A1E,0.0,0.0,2.0719623082146947,2.5540862639987467
points_floor,A,A2E,0.0,0.0,0.7180358416171653,0.5601211998728776
points_side,A,A3E,0.0,0.0,2.46859176161368,2.1585629421967556
points_side,A,A4E,0.0,0.0,6.6480931275977735,6.463559654422168
points_side,A,A1E,0.0,0.0,6.44116555809742,6.447251984143469
points_side,A,A2E,0.0,0.0,2.9616345981825725,1.8374317810021352
