measure,layer,sse,close,mid,far,extreme
angles_layer,B,B3E,0.0,0.0,6.4683073141993965,1.4186462050082582
angles_layer,B,B4E,0.0,0.0,30.067927752457976,-27.493269575854463
angles_layer,B,B2E,0.0,0.0,-2.816359074861006,-7.7249552091691545
angles_layer,B,B1E,0.0,0.0,-22.664964230543927,28.462743601023462
angles_floor,B,B3E,0.0,0.0,83.58255603029326,-68.28896517425187
angles_floor,B,B4E,0.0,0.0,57.60044115831556,-57.89948761767787
angles_floor,B,B2E,0.0,0.0,86.99797649574984,-68.17143001315125
angles_floor,B,B1E,0.0,0.0,67.28264113718276,-50.87601880750675
angles_side,B,B3E,0.0,0.0,0.08242611562160007,-10.087389217202627
angles_side,B,B4E,0.0,0.0,11.052460450278693,4.996441834834478
angles_side,B,B2E,0.0,0.0,-0.8875122192830567,18.65298730923191
angles_side,B,B1E,0.0,0.0,-0.18928720593510445,8.855090858997379
points_layer,B,B3E,0.0,0.0,0.06783909610737385,0.36601088270707377
points_layer,B,B4E,0.0,0.0,0.3451652376816081,0.5254841620513214
points_layer,B,B2E,0.0,0.0,0.1281865302521358,0.3850735027153154
points_layer,B,B1E,0.0,0.0,0.25335712046122505,0.32933104535820357
points_floor,B,B3E,0.0,0.0,0.0890882248807124,1.3540477933195514
points_floor,B,B4E,0.0,0.0,0.375205080916546,2.003928142372519
points_floor,B,B2E,0.0,0.0,0.35943886055968155,0.4174951953514673
points_floor,B,B1E,0.0,0.0,0.7316125978242782,1.8739193104686183
points_side,B,B3E,0.0,0.0,2.705748654235736,2.4994295902302586
points_side,B,B4E,0.0,0.0,6.193605495825992,6.536399259558365
points_side,B,B2E,0.0,0.0,1.9423271361226762,1.7953525462725943
points_side,B,B1E,0.0,0.0,6.183650292589067,6.486258736072354
