sse,layer,angles_layer,angles_floor,angles_side,points_layer,points_floor,points_side,tilted_layer,tilted_floor,tilted_side,pdb_path,pdb,chain,rmsd,match
A1E,A,-20.806809407417244,-68.66319043596465,4.5173792356701385,0.31855586230982025,0.08054579515992391,6.726930534946915,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B1E,A,6.650851817186524,-58.19028951182213,30.944074847053386,11.468952165507247,1.5608640546507035,8.229838829616831,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
A3E,A,9.992350338118484,-77.79690631432067,6.932291545054591,0.2147179592917885,0.7473233669068149,2.039606236549315,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B3E,A,42.1556041071341,-45.66159027505908,11.243006282436571,11.660107571458731,1.9705973466907543,2.946421824885697,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B4E,A,70.27941057013301,-18.614319996743212,6.282783571378242,11.686127531621516,1.4555033582329069,7.288637836425668,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
A4E,A,9.807290628054991,-79.90311580063687,2.37610955492171,0.13507590514531967,2.5758388272132997,7.048935140465533,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B2E,A,14.237304314554253,-71.52742148547404,11.522538917683775,11.040767232782855,2.5076659616887333,0.3907356274579801,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
A2E,A,5.619345268268888,-79.10097168774594,9.307230190943141,0.2377621083029283,1.9078831385178665,2.361658324222596,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
A1E,B,45.57764247346774,37.347609910059134,20.432185178594406,10.701075805266347,5.0532506088469145,4.855999149030477,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B1E,B,13.874073518909972,34.65367044359624,51.89420442985829,0.1331254572430638,2.465818305582665,7.1388922294349335,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
